id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
101,0.8396,0.353516,0.436035,-0.152439,1.15854,-4.14634,1.45712E+12
102,0.835449,0.283447,0.429932,-3.17073,0.27439,1.06707,1.45712E+12
103,0.84082,0.297852,0.444336,0.335366,0.396341,-1.37195,1.45712E+12
104,0.848389,0.31543,0.412842,-0.487805,-0.457317,-1.85976,1.45712E+12
105,0.841309,0.347656,0.450195,1.31098,1.15854,-1.52439,1.45712E+12
106,0.834473,0.239746,0.419189,0,0.0914634,0.335366,1.45712E+12
107,0.840576,0.327393,0.43335,-0.792683,1.25,-5.18293,1.45712E+12
108,0.842285,0.303467,0.407227,2.37805,0.365854,-2.37805,1.45712E+12
109,0.83667,0.356689,0.429688,0.97561,-0.365854,-3.07927,1.45712E+12
110,0.830078,0.327881,0.413818,0.0914634,-0.152439,-2.2561,1.45712E+12
111,0.82959,0.370361,0.441895,5.85366,-0.121951,-4.05488,1.45712E+12
112,0.831299,0.29248,0.431641,0.579268,-2.65244,-8.17073,1.45712E+12
113,0.81543,0.301025,0.388184,17.8354,-14.5427,-36.7378,1.45712E+12
114,0.736084,0.412598,0.339844,28.872,-22.561,-57.8659,1.45712E+12
115,0.69873,0.616943,0.24292,1.70732,-16.8902,-52.9573,1.45712E+12
116,0.616211,0.768555,0.133057,27.1951,-15.0305,-37.1341,1.45712E+12
117,0.578125,0.842529,0.0791016,18.1707,-8.29268,-17.4085,1.45712E+12
118,0.567139,0.826904,0.113525,-5.57927,-0.426829,-9.08537,1.45712E+12
119,0.566406,0.811035,0.132568,-5.03049,0.548781,-2.92683,1.45712E+12
120,0.55542,0.808838,0.125,3.32317,0.640244,-3.01829,1.45712E+12
121,0.549316,0.773926,0.134277,-4.2378,1.34146,-1.43293,1.45712E+12
122,0.556885,0.843506,0.113281,-4.05488,1.12805,-0.365854,1.45712E+12
